ion,SLJ,S'L'J',Ecalc / cm^-1,P' X 10^8
Pr,2F5/2,3H5,2322,9.76
Pr,3H4,3F3,6540,0.02
Pr,3H4,3F4,6973,0.49
Pr,3H4,1G4,9885,0.25
Pr,4I9/2,4I11/2,2007,14.11
Nd,4I9/2,2H9/2,12738,1.12
Nd,4I9/2,4F9/2,14854,0.20
Nd,4I9/2,2G7/2,17333,0.02
Nd,4I9/2,2I11/2,28624,0.05
Pm,5I4,5I5,1577,16.36
Pm,5I4,5F4,14562,0.08
Pm,5I4,3H4,17327,1.30
Pm,5I4,5G4,20181,0.26
Pm,5I4,3G4,23897,0.11
Pm,5I4,3I5,27916,0.23
Pm,5I4,3H4,35473,0.04
Sm,6H5/2,6H7/2,1080,17.51
Sm,6H5/2,6F3/2,6641,0.02
Sm,6H5/2,6F5/2,7131,0.08
Sm,6H5/2,4G5/2,17924,1.76
Sm,6H5/2,4F3/2,18832,0.03
Sm,6H5/2,4G7/2,20014,0.05
Sm,6H5/2,4F5/2,22098,0.45
Sm,6H5/2,4H7/2,28396,0.67
Sm,6H5/2,4G5/2,30232,0.03
Sm,6H5/2,4G5/2,42714,0.02
Sm,6H5/2,4G7/2,42965,0.06
Sm,6H5/2,"(4H,2G)7/2",44237,0.04
Eu,7F0,7F1,350,17.73
Eu,7F0,5D1,19026,1.62
Eu,7F0,5F1,33429,2.16
Gd,8S7/2,6P7/2,32224,4.13
Gd,8S7/2,6P5/2,32766,2.33
Gd,8S7/2,6D9/2,39779,0.03
Gd,8S7/2,6D7/2,40712,0.39
Gd,8S7/2,6D5/2,40977,0.20
Tb,7F6,7F5,2112,12.11
Tb,7F6,5G6,26425,5.03
Tb,7F6,5G5,27795,0.36
Tb,7F6,5L6,29550,0.14
Tb,7F6,5H7,31537,0.06
Tb,7F6,5H6,33027,0.46
Tb,7F6,5H5,33879,0.03
Tb,7F6,5F5,34927,1.87
Tb,7F6,5G6,41082,0.23
Dy,6H15/2,6H13/2,3506,22.68
Dy,6H15/2,4I15/2,22293,5.95
Dy,6H15/2,4I13/2,25919,0.41
Dy,6H15/2,4K17/2,26365,0.09
Dy,6H15/2,"(4M,4I)15/2",29244,0.69
Dy,6H15/2,4M17/2,30892,0.03
Dy,6H15/2,4K15/2,31795,0.12
Dy,6H15/2,4H13/2,33471,0.60
Dy,6H15/2,"(4K,4L)13/2",33776,0.37
Dy,6H15/2,"(2K,2L)15/2",38811,0.09
Dy,6H15/2,4I15/2,41596,0.03
Ho,5I8,5I7,5116,29.47
Ho,5I8,3K8,21308,6.39
Ho,5I8,3K7,26117,0.28
Ho,5I8,3L9,29020,0.12
Ho,5I8,3L8,34306,0.17
Ho,5I8,3L7,38022,0.04
Ho,5I8,3I7,38470,0.36
Er,4I15/2,4I13/2,6610,30.82
Er,4I15/2,2K15/2,27801,3.69
Er,4I15/2,2K13/2,33085,0.11
Er,4I15/2,2L17/2,41686,0.03
Er,4I15/2,2I13/2,43717,0.12
Tm,3H6,3H5,8390,27.25
Tm,3H6,1I6,34886,1.4
Yb,2F7/2,2F5/2,10400,17.76
