Ion/3+,SLJ,S'L'J',E / cm^-1,E / cm^-1,P'MD x 10^8,P'MD x 10^8
Ce,2F5/2,2F7/2,2266,,5.24,
Pr,2F5/2,3H5,2092,2322,9.86,9.76
Pr,3H4,3F3,6290,6540,0.02,0.02
Pr,3H4,3F4,6720,6973,0.5,0.49
Pr,3H4,1G4,9734,9885,0.27,0.25
Nd,4I9/2,4I11/2,1829,2007,13.75,14.11
Nd,4I9/2,2H9/2,12167,12738,1.25,1.12
Nd,4I9/2,4F9/2,14540,14854,0.18,0.2
Nd,4I9/2,2G7/2,16892,17333,0.02,0.02
Nd,4I9/2,2G9/2,19266,,0.02,
Nd,4I9/2,2I11/2,29454,28624,0.45,0.05
Nd,4I9/2,2H11/2,34646,,0.05,
Pm,5I4,5I5,1462,1577,16.23,16.36
Pm,5I4,5F4,14432,14562,0.07,0.08
Pm,5I4,"(3H,5G)4",17376,17327,1.23,1.3
Pm,5I4,5G3,17896,,0.02,
Pm,5I4,5G4,20038,20181,0.46,0.26
Pm,5I4,3G4,24499,23897,0.09,0.11
Pm,5I4,3G5,27022,,0.02,
Pm,5I4,3I5,28207,27816,0.49,0.23
Pm,5I4,3H4,36389,35473,0.04,0.04
Sm,6H5/2,6H7/2,1069,1080,18.12,17.51
Sm,6H5/2,6F3/2,6416,6641,0.03,0.02
Sm,6H5/2,6F5/2,6883,7131,0.11,0.08
Sm,6H5/2,4G5/2,18116,17924,1.73,1.76
Sm,6H5/2,4F3/2,18918,18832,0.03,0.03
Sm,6H5/2,4G7/2,20172,20014,0.1,0.05
Sm,6H5/2,4F5/2,22177,22098,0.45,0.45
Sm,6H5/2,4F7/2,24889,,0.02,
Sm,6H5/2,4H7/2,28715,28396,0.04,0.67
Sm,6H5/2,4G5/2,30079,30232,0.04,0.03
Sm,6H5/2,4H7/2,42572,,0.19,
Sm,6H5/2,3G5/2,43021,42714,0.19,0.02
Eu,7F0,7F1,399,350,18.68,17.73
Eu,7F0,5D1,19264,19026,1.69,1.62
Eu,7F0,5F1,33755,33429,1.24,2.16
Eu,7F0,3P1,38891,,0.05,
Eu,7F0,5D1,41557,,0.29,
Gd,8S7/2,6P7/2,32557,32224,4.28,4.13
Gd,8S7/2,6P5/2,33169,32766,2.42,2.33
Gd,8S7/2,6D9/2,39524,39779,0.04,0.03
Gd,8S7/2,6D7/2,40647,40712,0.55,0.39
Gd,8S7/2,6D5/2,40928,40977,0.29,0.2
Tb,7F6,7F5,1999,2112,11.9,12.11
Tb,7F6,5G6,27004,26425,5.01,5.03
Tb,7F6,5G5,28252,27795,0.38,0.36
Tb,7F6,5L6,30042,29550,0.14,0.14
Tb,7F6,5H7,31843,31537,0.05,0.06
Tb,7F6,5H6,33279,33027,0.37,0.46
Tb,7F6,5H5,34182,33879,0.08,0.03
Tb,7F6,5F5,35411,34927,2.11,1.87
Tb,7F6,5G6,41329,41082,0.26,0.23
Tb,7F6,"(5G,5K)5",41605,,0.02,
Tb,7F6,5K6,44324,,0.04,
Dy,6H15/2,6H13/2,3316,3506,21.73,22.68
Dy,6H15/2,4I15/2,22691,22293,5.48,5.95
Dy,6H15/2,4K17/2,25967,26365,0.1,0.09
Dy,6H15/2,4I13/2,26050,25919,0.51,0.41
Dy,6H15/2,4K15/2,29534,29244,0.61,0.69
Dy,6H15/2,4M17/2,29740,30892,0.02,0.03
Dy,6H15/2,"(4K,4M)15/2",30846,31795,0.23,0.12
Dy,6H15/2,"(4K,4L)13/2",33321,33776,0.2,0.37
Dy,6H15/2,4H13/2,33924,33471,1.41,0.6
Dy,6H15/2,4L15/2,36261,,0.02,
Dy,6H15/2,"(4L,4K)13/2",36666,,0.02,
Dy,6H15/2,"(2K,2L)15/2",38434,38811,0.15,0.09
Ho,5I8,5I7,5064,5116,29.72,29.47
Ho,5I8,3K8,20715,21308,6.46,6.39
Ho,5I8,3K7,25636,26117,0.28,0.28
Ho,5I8,3L9,28873,29020,0.14,0.12
Ho,5I8,3L8,33577,34206,0.21,0.17
Ho,5I8,3I7,37258,38470,0.24,0.36
Er,4I15/2,4I13/2,6534,6610,31.14,30.82
Er,4I15/2,2K15/2,27315,27801,3.66,3.69
Er,4I15/2,2K13/2,32597,33085,0.05,0.11
Er,4I15/2,2L17/2,41022,41686,0.03,0.03
Tm,3H6,3H5,8205,8390,27.41,27.25
Tm,3H6,2I6,34212,34886,1.42,1.4
Yb,2F7/2,2F5/2,10248,10400,17.76,17.76
