Level number,Multiplet label,Calculated / cm^-1,Experimental / cm^-1,Δ / cm^-1,Comments for experimental data
1,4I15/2,-31,0,-31,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
2,4I15/2,1,22,-21,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
3,4I15/2,40,60,-20,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
4,4I15/2,76,80,-4,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
5,4I15/2,388,417,-29,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
6,4I15/2,430,432,-2,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
7,4I15/2,498,,,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
8,4I15/2,575,574,1,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
9,4I13/2,6558,6549,9,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
10,4I13/2,6610,6599,11,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
11,4I13/2,6621,6606,15,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
12,4I13/2,6786,6786,0,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
13,4I13/2,6837,6805,32,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
14,4I13/2,6886,6883,3,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
15,4I13/2,6904,6889,15,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
16,4I11/2,10255,10255,0,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
17,4I11/2,10290,10285,5,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
18,4I11/2,10359,10361,-2,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
19,4I11/2,10382,10372,10,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
20,4I11/2,10413,10412,1,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
21,4I11/2,10422,10417,5,"Emission data from 4S3/2 -> 4I15/2 and 2P3/2 -> 4I13/2, 4I11/2, and 4I9/2"
