Level number,Multiplet label,Calculated / cm^-1,Experimental / cm^-1,Δ / cm^-1,Comments for experimental data
1,4I15/2,-18,0,-18,Emission data from lowest 4S3/2 excited level
2,4I15/2,1,21,-20,Emission data from lowest 4S3/2 excited level
3,4I15/2,35,60,-25,Emission data from lowest 4S3/2 excited level
4,4I15/2,78,86,-8,Emission data from lowest 4S3/2 excited level
5,4I15/2,394,385,9,Emission data from lowest 4S3/2 excited level
6,4I15/2,425,418,7,Emission data from lowest 4S3/2 excited level
7,4I15/2,487,,,
8,4I15/2,553,555,-2,
9,4I13/2,6543,6544,-1,
10,4I13/2,6613,6600,13,
11,4I13/2,6619,6606,,Energy level not used in fitting.
12,4I13/2,6791,6774,17,
13,4I13/2,6829,6797,32,
14,4I13/2,6879,6873,6,
15,4I13/2,6894,6889,5,
16,4I11/2,10249,10252,-3,
17,4I11/2,10292,10287,5,
18,4I11/2,10363,10367,-4,
19,4I11/2,10384,10358,,Energy level not used in fitting.
20,4I11/2,10409,10416,-7,
21,4I11/2,10417,10423,-6,
22,4I9/2,12291,12308,-17,
23,4I9/2,12505,12525,-20,
24,4I9/2,12567,12567,0,
25,4I9/2,12676,12688,-12,
26,4I9/2,12747,12760,-13,
27,4F9/2,15302,15287,15,
28,4F9/2,15327,15315,12,
29,4F9/2,15381,15369,11,
30,4F9/2,15471,15470,1,
31,4F9/2,15533,15525,8,
32,4S3/2,18397,18398,-1,
33,4S3/2,18472,18471,1,
34,2H(2)11/2,19125,19107,18,
35,2H(2)11/2,19140,19126,14,
36,2H(2)11/2,19181,19155,26,
37,2H(2)11/2,19361,19350,11,
38,2H(2)11/2,19386,19368,18,
39,2H(2)11/2,19400,,,
40,4F7/2,20517,20515,2,
41,4F7/2,20553,20578,-25,
42,4F7/2,20642,20652,-10,
43,4F7/2,20707,20714,-7,
44,4F5/2,22227,22224,3,
45,4F5/2,22245,22241,4,
46,4F5/2,22294,22294,0,
47,4F3/2,22625,22587,38,
48,4F3/2,22667,22672,-5,
49,2G9/2,24425,24427,-2,
50,2G9/2,24582,24575,7,
51,2G9/2,24619,24608,11,
52,2G9/2,24733,24760,-27,
53,2G9/2,24780,24787,-7,
54,4G11/2,26240,26232,8,
55,4G11/2,26284,26292,-8,
56,4G11/2,26317,26328,-11,
57,4G11/2,26570,26574,-4,
58,4G11/2,26582,26574,8,
59,4G11/2,26622,26609,13,
60,2K15/2,27267,,,
61,2K15/2,27318,27309,9,
62,2K15/2,27319,27334,-15,
63,2K15/2,27479,27493,-14,
64,2K15/2,27495,27507,-12,
65,2K15/2,27521,27539,-18,
66,2K15/2,27614,27601,13,
67,2K15/2,27634,27637,-3,
68,2K15/2,27793,27824,,Energy level not used in fitting.
69,2K15/2,27901,27885,16,
70,2K15/2,27969,27975,-6,
71,2K15/2,28058,28074,-16,
72,2K15/2,28079,28090,-11,
73,2G7/2,28105,28108,-3,
74,2G7/2,28129,28121,8,
75,2G7/2,28151,28145,6,
76,2G7/2,28160,28167,-7,
77,2P3/2,31505,31485,20,
78,2P3/2,31601,31614,-13,
79,2K13/2,32585,,,
80,2K13/2,32854,32840,14,
81,2K13/2,32870,,,
82,2K13/2,33010,33015,,Energy level not used in fitting.
83,2K13/2,33033,33037,-4,
84,2K13/2,33074,33096,-22,
85,2K13/2,33178,33179,-1,
86,2K13/2,33262,33260,,Energy level not used in fitting.
87,2K13/2,33330,33357,-27,i
88,2K13/2,33388,33381,7,
89,2K13/2,33468,33441,27,
90,4G7/2,34001,34015,,Energy level not used in fitting.
91,4G7/2,34040,34038,2,
92,4G7/2,34060,34089,-29,
93,4G7/2,34180,34166,14,
94,2D(1)5/2,34733,,,
95,2D(1)5/2,34780,34797,-17,
96,2D(1)5/2,34898,34905,-7,
97,2H(2)9/2,36355,36336,19,
98,2H(2)9/2,36449,,,
99,2H(2)9/2,36501,36499,2,
100,2H(2)9/2,36586,36587,-1,
101,2H(2)9/2,36806,36804,2,
102,4D5/2,38505,38492,13,
103,4D5/2,38538,38521,17,
104,4D5/2,38559,38576,-17,
105,4D7/2,39067,39071,-4,
106,4D7/2,39087,,,
107,4D7/2,39242,39179,,Energy level not used in fitting.
108,4D7/2,39384,39395,,Energy level not used in fitting.
109,2I11/2,40893,40870,23,
110,2I11/2,40943,40948,-5,
111,2I11/2,40971,40966,5,
112,2I11/2,41011,41002,9,
113,2I11/2,41089,,,
114,2I11/2,41126,41120,6,
115,2I11/2,41181,41194,-13,
116,2L17/2,41326,41310,16,
117,2L17/2,41422,41428,,Energy level not used in fitting.
118,2L17/2,41481,41481,0,
119,2L17/2,41516,41516,,Energy level not used in fitting.
120,2L17/2,41566,41550,16,
121,2L17/2,41580,,,
122,2L17/2,41617,41637,-20,
123,2L17/2,41716,41706,10,
124,4D3/2,42212,42210,2,
125,4D3/2,42263,42270,-7,
126,2P3/2,42724,,,
127,2P3/2,42784,,,
128,2I13/2,43311,43307,4,
129,2I13/2,43350,43371,-21,
130,2I13/2,43407,43420,-13,
131,2I13/2,43454,43469,-15,
132,2I13/2,43659,,,
133,2I13/2,43746,43731,,Energy level not used in fitting.
134,2I13/2,43895,,,
