Operator,WU,Multiplicative Factor,Value
e_{0},(000)(00),F_{0},1
e_{1}^{'},(000)(00),F_{1},1
e_{2},(400)(40),F_{2},7
e_{3},(220)(22),F_{3},7
e_{\alpha}^{'},(220)(22),F_{\alpha},7
e_{\beta}^{'},(111)(00),F_{\beta},2
e_{\gamma}^{'},(000)(00),F_{\gamma},1
t_{2}^{'},(220)(22),F_{2}^{'},770(2).5
t_{3},(222)(00),F_{3}^{'},(6720).5
t_{4},(222)(40),F_{4},56(15015).5
t_{6},(420)(22),F_{6},924(455).5
t_{7},(420)(40),F_{7},168(5005).5
t_{8},(420)(42),F_{8},(16336320).5
t_{11}^{'},(111)(00),F_{11},(660/7).5
t_{12},(220)(22),F_{12},49(110/3).5
t_{14},(222)(00),F_{14},(1680).5
t_{15},(222)(40),F_{15},14(60060).5
t_{16},(311)(22),F_{16},252(77/15).5
t_{17},(311)(40),F_{17},84(1001).5
t_{18},(321)(22),F_{18},(41580).5
t_{19},(321)(40),F_{19},42(15015).5
