multiplet,S,L,J,E(exp),E(calc)
4I9/2,3/2,6,9/2,0,-1
4I9/2,3/2,6,9/2,131,130
4I9/2,3/2,6,9/2,200,201
4I9/2,3/2,6,9/2,310,311
4I9/2,3/2,6,9/2,857,856
4I11/2,3/2,6,11/2,2000,2003
4I11/2,3/2,6,11/2,2025,2026
4I11/2,3/2,6,11/2,2115,2106
4I11/2,3/2,6,11/2,2151,2151
4I11/2,3/2,6,11/2,2462,2469
4I11/2,3/2,6,11/2,2518,2518
4I13/2,3/2,6,13/2,3921,3925
4I13/2,3/2,6,13/2,3933,3931
4I13/2,3/2,6,13/2,4038,4038
4I13/2,3/2,6,13/2,4055,4051
4I13/2,3/2,6,13/2,4436,4434
4I13/2,3/2,6,13/2,,4443
4I13/2,3/2,6,13/2,4495,4499
4I15/2,3/2,6,15/2,5767,5764
4I15/2,3/2,6,15/2,5822,5820
4I15/2,3/2,6,15/2,5939,5941
4I15/2,3/2,6,15/2,5970,5979
4I15/2,3/2,6,15/2,,6564
4I15/2,3/2,6,15/2,6590,6588
4I15/2,3/2,6,15/2,6648,6646
4I15/2,3/2,6,15/2,6743,6741
