,LuAG,YAG,YAG*,GGG,LuGG,YGG,,,,,
B_{20},-280 (29),-336 (50),-415,-193 (37),-132 (9),42 (30),,,,,
B_{22},202 (24),209 (35),250,156 (29),177 (7),111 (17),,,,,
B_{40},-2881 (33),-2870 (60),-2715,-2543 (37),-2582 (8),-2630 (22),,,,,
B_{42},276 (52),414 (73),518,220 (78),203 (18),192 (38),,,,,
B_{44},1248 (22),1159 (37),1018,1126 (27),1064 (7),1063 (23),,,,,
B_{60},1049 (23),994 (39),1115,914 (27),901 (4),877 (15),,,,,
B_{62},-337 (18),-339 (32),-308,-225 (27),-244 (5),-224 (19),,,,,
B_{64},1676 (8),1610 (15),1590,1499 (9),1516 (2),1584 (7),,,,,
B_{66},-120 (13),-133 (21),-43,-139 (16),-133 (3),-109 (11),,,,,
E(4I9/2),0 (1),0 (2),,0 (1),0 (0),0 (1),,,,,
E(4I11/2),1858 (1),1858 (2),,1862 (1),1860 (0),1860 (1),,,,,
E(4I13/2),3821 (1),3821 (2),,3839 (2),3847 (1),3830 (3),,,,,
E(4I15/2),5839 (1),5850 (2),,5859 (2),5853 (0),5854 (1),,,,,
