2F,2F,1.0,1.0,1.0
3P,3P,-0.8017836809158325,0.0,0.0
3P,3F,0.9258201122283936,-0.7237467765808105,0.0
3P,3H,0.0,0.6900655031204224,-0.462909996509552
3F,3P,0.9258201122283936,-0.7237467765808105,0.0
3F,3F,-0.3333333134651184,-0.3333333134651184,-0.3333333134651184
3F,3H,0.835710883140564,1.0157489776611328,-1.2472189664840698
3H,3P,0.0,0.6900655031204224,-0.462909996509552
3H,3F,0.835710883140564,1.0157489776611328,-1.2472189664840698
3H,3H,1.0653259754180908,-0.9085134863853455,-1.1615530252456665
1S,1D,0.7559288740158081,0.0,0.0
1S,1G,0.0,0.7559288740158081,0.0
1S,1I,0.0,0.0,0.7559288740158081
1D,1S,0.7559288740158081,0.0,0.0
1D,1D,-0.6415330171585083,0.7063046097755432,0.0
1D,1G,0.9476069808006287,0.1668211966753006,0.36037489771842957
1D,1I,0.0,0.4331167936325073,1.376204013824463
1G,1S,0.0,0.7559288740158081,0.0
1G,1D,0.9476069808006287,0.1668211966753006,0.36037489771842957
1G,1G,0.22381410002708435,-1.076982021331787,1.197695016860962
1G,1I,0.5810871720314026,1.4394500255584717,1.0601730346679688
1I,1S,0.0,0.0,0.7559288740158081
1I,1D,0.0,0.4331167936325073,1.376204013824463
1I,1G,0.5810871720314026,1.4394500255584717,1.0601730346679688
1I,1I,2.2190630435943604,1.2741689682006836,0.3565323054790497
4S,4D,-0.5345224738121033,0.0,0.0
4S,4G,0.0,-0.5345224738121033,0.0
4S,4I,0.0,0.0,-0.5345224738121033
4D,4S,-0.5345224738121033,0.0,0.0
4D,4D,0.9914600849151611,0.7063046097755432,0.0
4D,4F,0.7559288740158081,-0.809173583984375,0.0
4D,4G,0.9476069808006287,-0.02780349925160408,-0.7207499146461487
4D,4I,0.0,-0.8662335872650146,0.2752408981323242
4F,4D,-0.7559288740158081,0.809173583984375,0.0
4F,4F,-0.49999991059303284,-0.49999991059303284,-0.49999991059303284
4F,4G,1.0856200456619263,-0.6370589733123779,0.6908491849899292
4F,4I,0.0,0.8302975296974182,1.1281520128250122
4G,4S,0.0,-0.5345224738121033,0.0
4G,4D,0.9476069808006287,-0.02780349925160408,-0.7207499146461487
4G,4F,-1.0856200456619263,0.6370589733123779,-0.6908491849899292
4G,4G,-0.037302400916814804,1.053570032119751,0.8650022745132446
4G,4I,-1.1621739864349365,1.0396029949188232,-0.5300865173339844
4I,4S,0.0,0.0,-0.5345224738121033
4I,4D,0.0,-0.8662335872650146,0.2752408981323242
4I,4F,0.0,-0.8302975296974182,-1.1281520128250122
4I,4G,-1.1621739864349365,1.0396029949188232,-0.5300865173339844
4I,4I,0.44381269812583923,-0.6370847225189209,1.782660961151123
2P,2P,-0.26726120710372925,0.0,0.0
2P,2D1,0.3499270975589752,0.0,0.0
2P,2D2,0.6700593829154968,0.0,0.0
2P,2F1,0.5345224738121033,-0.4178554117679596,0.0
2P,2F2,0.0,-0.31180480122566223,0.0
2P,2G1,0.0,0.6388766169548035,0.0
2P,2G2,0.0,0.34870991110801697,0.0
2P,2H1,0.0,0.23002180457115173,-0.15430329740047455
2P,2H2,0.0,0.49065330624580383,0.5063697099685669
2P,2I,0.0,0.0,0.9258201122283936
2P,2K,0.0,0.0,-0.468807190656662
2D1,2P,-0.3499270975589752,0.0,0.0
2D1,2D1,-0.5582169890403748,0.10090070217847824,0.0
2D1,2D2,-0.2871682941913605,0.40837571024894714,0.0
2D1,2F1,0.5714284777641296,-0.6116777062416077,0.0
2D1,2F2,0.6700593829154968,0.19561520218849182,0.0
2D1,2G1,0.13537240028381348,0.07943859696388245,0.36037489771842957
2D1,2G2,0.4030289053916931,-0.8064774870872498,-0.36313650012016296
2D1,2H1,0.0,0.8518354296684265,-0.6900655031204224
2D1,2H2,0.0,-0.2271282970905304,-0.549963116645813
2D1,2I,0.0,0.4331167936325073,0.5111616849899292
2D1,2K,0.0,0.0,0.7672659158706665
2D1,2L,0.0,0.0,-0.3652915954589844
2D2,2P,-0.6700593829154968,0.0,0.0
2D2,2D1,-0.2871682941913605,0.40837571024894714,0.0
2D2,2D2,0.6748594045639038,-0.34168630838394165,0.0
2D2,2F1,-0.8206518292427063,-0.42591771483421326,0.0
2D2,2F2,-0.3499270975589752,0.45402979850769043,0.0
2D2,2G1,-0.318131685256958,0.42315199971199036,-0.5645989775657654
2D2,2G2,0.7717416286468506,-0.4347552955150604,-0.7901744246482849
2D2,2H1,0.0,0.26876750588417053,0.36037489771842957
2D2,2H2,0.0,-0.434917688369751,0.46460258960723877
2D2,2I,0.0,0.5654696822166443,-0.12320560216903687
2D2,2K,0.0,0.0,0.0667819008231163
2D2,2L,0.0,0.0,0.8584529757499695
2F1,2P,0.5345224738121033,-0.4178554117679596,0.0
2F1,2D1,-0.5714284777641296,0.6116777062416077,0.0
2F1,2D2,0.8206518292427063,0.42591771483421326,0.0
2F1,2F1,0.6666666269302368,0.6666666269302368,0.6666666269302368
2F1,2F2,-0.7817360162734985,-0.2842676043510437,0.4974682927131653
2F1,2G1,0.8206518292427063,-0.4815712869167328,0.5222328901290894
2F1,2G2,0.16288210451602936,0.8411201238632202,0.43852901458740234
2F1,2H1,0.482497900724411,0.5864428877830505,-0.7200822830200195
2F1,2H2,1.0292019844055176,-0.7698003053665161,-0.16878989338874817
2F1,2I,0.0,0.6276459097862244,0.8528028130531311
2F1,2K,0.0,0.8989331126213074,-0.7709770202636719
