fn,bra,ket,m0,m2,m4,p2,p4,p6
2,3H,1I,-39.517401,-12.631662,-0.636162,0.099148,-0.004097,0.010303
2,3H,1I,-41.004614,0.708200,-8.031265,-0.214820,0.166612,-0.035657
3,4I,2H2,-61.355069,13.961236,17.395106,-0.409034,-0.033292,0.167067
3,4I,2H2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4I,2I,-49.290522,-16.687700,4.230274,-0.207738,-0.040580,0.105860
3,4I,2I,-61.355065,13.961230,17.395113,-0.409034,-0.033292,0.167067
3,4I,2K,70.230098,17.181962,15.206322,0.229510,-0.092468,0.004910
3,4I,2K,-49.290519,-16.687699,4.230274,-0.207738,-0.040580,0.105860
3,4I,2L,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,4I,2L,70.230095,17.181955,15.206329,0.229510,-0.092468,0.004910
5,2F6,2G2,-6.40502,6.479353,7.176131,0.365929,0.146935,-0.018250
5,2F6,2G2,-4.808464,13.639664,15.114922,0.454627,0.168926,-0.067589
5,2F6,2G4,8.012369,-9.563792,-23.973428,-0.128391,0.045833,-0.005394
5,2F6,2G4,10.340524,8.957677,-17.613967,-0.255707,0.156970,-0.061232
5,2F7,2G2,9.370408,7.433079,8.248760,-0.188615,-0.101994,-0.077156
5,2F7,2G2,7.773851,0.272767,0.309962,-0.277313,-0.123985,-0.027817
5,2F7,2G4,-11.858635,12.517782,8.658505,-0.171636,0.101999,-0.025085
5,2F7,2G4,-14.18679,-6.003685,2.299045,-0.044319,-0.009138,0.030753
5,2G4,2G4,-72.768854,41.627915,45.583762,0.237366,0.139196,0.008077
5,2G4,2G4,-76.949502,49.042691,55.316694,0.053724,0.170992,0.041596
5,2G4,2G5,0.069821,5.701595,9.303139,-0.158692,0.047000,0.049369
5,2G4,2G5,4.250473,-1.713192,-0.429796,0.024950,0.015204,0.015850
5,2H4,2I2,7.416198,-30.080210,-20.532165,0.390370,-0.225593,0.014923
5,2H4,2I2,7.407874,-30.117535,-20.573549,0.389908,-0.225708,0.015180
7,6G,4H5,0.000000,93.008448,88.980748,-0.691279,0.261848,0.000000
7,6G,4H5,2.592296,69.756317,101.870808,-0.144016,-0.035707,0.080111
7,2H4,2H5,-14.710067,-60.381796,-64.786805,-0.076409,0.054924,0.124609
7,2H4,2H5,-24.327018,-103.512356,-112.606611,-0.610685,-0.077541,0.421807
7,2H4,2H6,-9.604175,-4.306522,35.848655,0.587659,-0.188578,0.011468
7,2H4,2H6,-9.301052,-2.947067,37.355911,0.604500,-0.184403,0.002101
7,2H4,2I2,7.401216,-22.862866,-8.111162,0.184781,-0.315328,0.001496
7,2H4,2I2,7.417862,-22.788204,-8.028388,0.185706,-0.315099,0.000981
