f^N,bterm,kterm,t2,t3,t4,t6,t7,t8,t11,t12,t14,t15,t16,t17,t18,t19
3,2D1,2D2,-0.063304,0.0,0.391789,-0.181871,0.0754,0.0,0.0,0.464661,0.0,0.783578,0.482945,-0.168599,0.338062,0.478853
3,2D1,2D1,-0.161624,0.39036,-0.166715,0.652982,0.866278,0.0,-0.411943,-0.11122,0.78072,-0.333431,-0.115596,-0.430457,0.809174,-0.333431
3,2D2,2D1,-0.063304,0.0,0.391789,-0.181871,0.0754,0.0,0.0,0.464661,0.0,0.783578,0.482945,-0.168599,0.338062,0.478853
3,2D2,2D2,-0.294781,-0.036596,0.471728,-0.085085,-0.154224,1.148245,0.308957,0.040444,-0.073193,0.943457,0.299499,-0.425565,-0.26482,-0.40921
3,2F1,2F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2F1,2F2,0.994987,0.0,0.0,0.0,0.0,0.0,0.0,0.99591,0.0,0.0,0.0,0.0,0.0,0.0
3,2F2,2F1,0.994987,0.0,0.0,0.0,0.0,0.0,0.0,0.99591,0.0,0.0,0.0,0.0,0.0,0.0
3,2F2,2F2,-0.347125,-0.036596,0.198922,0.069256,-0.114847,-0.820175,0.308957,0.778539,-0.073193,0.397843,-0.331026,-0.513613,-0.220684,0.0
3,2G1,2G1,-0.058773,0.39036,0.151559,0.237448,-0.787525,0.0,-0.411943,-0.040444,0.78072,0.303119,-0.042035,0.391324,0.294245,0.303119
3,2G1,2G2,-0.060148,0.0,-0.229081,-0.172804,-0.044087,0.0,0.0,0.441496,0.0,-0.458162,0.458869,0.098581,0.321208,-0.279988
3,2G2,2G1,-0.060148,0.0,-0.229081,-0.172804,-0.044087,0.0,0.0,0.441496,0.0,-0.458162,0.458869,0.098581,0.321208,-0.279988
3,2G2,2G2,-0.26264,-0.036596,-0.360682,0.06195,0.163815,0.323864,0.308957,0.630246,-0.073193,-0.721364,-0.288991,0.633268,-0.161835,0.153891
3,2H1,2H1,0.038569,-0.58554,0.0,0.415534,0.0,0.0,-0.617914,0.070776,-1.17108,0.0,0.220684,0.0,-0.220684,0.0
