"ψi:simple","ψf:simple","ψi:idx","ψf:idx","Ei/K","Ef/K","λ/nm","Δλ/nm","τ/s","AMD/s^-1"
"4I9/2","4I9/2",2,1,44.,0.,227000.,7000.,1.22e-6,814000.
"4I9/2","4I9/2",3,1,148.,0.,67300.,600.,0.00013,7680.
"4I9/2","4I9/2",3,2,148.,44.,95000.,1000.,0.0000227,44000.
"4I9/2","4I9/2",4,1,299.,0.,33400.,100.,0.000237,4210.
"4I9/2","4I9/2",4,2,299.,44.,39100.,200.,0.000107,9280.
"4I9/2","4I9/2",4,3,299.,148.,66300.,600.,0.0000538,18500.
"4I9/2","4I9/2",5,1,508.,0.,19690.,50.,0.000482,2070.
"4I9/2","4I9/2",5,2,508.,44.,21550.,60.,0.0038,262.
"4I9/2","4I9/2",5,3,508.,148.,27800.,100.,0.000538,1850.
"4I9/2","4I9/2",5,4,508.,299.,47900.,300.,0.0000114,87600.
"4I11/2","4I9/2",6,1,1965.,0.,5088.,3.,0.068,14.6
"4I11/2","4I9/2",6,2,1965.,44.,5204.,3.,0.00143,694.
"4I11/2","4I9/2",6,3,1965.,148.,5504.,4.,0.0395,25.2
"4I11/2","4I9/2",6,4,1965.,299.,6002.,5.,0.0033,302.
"4I11/2","4I9/2",6,5,1965.,508.,6861.,6.,0.0000703,14200.
"4I11/2","4I9/2",7,1,2027.,0.,4933.,3.,0.000538,1850.
"4I11/2","4I9/2",7,2,2027.,44.,5042.,3.,0.1,9.92
"4I11/2","4I9/2",7,3,2027.,148.,5322.,4.,0.0332,30.
"4I11/2","4I9/2",7,4,2027.,299.,5787.,4.,0.000167,5960.
"4I11/2","4I9/2",7,5,2027.,508.,6581.,6.,0.00464,215.
"4I11/2","4I11/2",7,6,2027.,1965.,161000.,3000.,6.27e-7,1.59e6
"4I11/2","4I9/2",8,1,2071.,0.,4829.,3.,0.011,90.2
"4I11/2","4I9/2",8,2,2071.,44.,4934.,3.,0.0137,72.5
"4I11/2","4I9/2",8,3,2071.,148.,5202.,3.,0.0434,23.
"4I11/2","4I9/2",8,4,2071.,299.,5645.,4.,0.0239,41.8
"4I11/2","4I9/2",8,5,2071.,508.,6398.,5.,0.003,332.
"4I11/2","4I11/2",8,6,2071.,1965.,94000.,1000.,1.3e-7,7.64e6
"4I11/2","4I11/2",8,7,2071.,2027.,230000.,7000.,4.74e-6,210000.
"4I11/2","4I9/2",9,1,2090.,0.,4785.,3.,0.00434,230.
"4I11/2","4I9/2",9,2,2090.,44.,4887.,3.,0.000766,1300.
"4I11/2","4I9/2",9,3,2090.,148.,5150.,3.,0.0164,60.6
"4I11/2","4I9/2",9,4,2090.,299.,5584.,4.,2.94e-6,339000.
"4I11/2","4I9/2",9,5,2090.,508.,6320.,5.,0.000153,6510.
"4I11/2","4I11/2",9,6,2090.,1965.,80200.,900.,0.0000104,95800.
"4I11/2","4I11/2",9,7,2090.,2027.,159000.,3000.,1.17e-6,852000.
"4I11/2","4I11/2",9,8,2090.,2071.,510000.,30000.,5.56e-7,1.79e6
"4I11/2","4I9/2",10,1,2194.,0.,4558.,2.,0.0154,64.7
"4I11/2","4I9/2",10,2,2194.,44.,4651.,3.,0.0624,16.
"4I11/2","4I9/2",10,3,2194.,148.,4889.,3.,0.00383,260.
"4I11/2","4I9/2",10,4,2194.,299.,5278.,3.,0.000541,1840.
"4I11/2","4I9/2",10,5,2194.,508.,5931.,4.,0.0242,41.2
"4I11/2","4I11/2",10,6,2194.,1965.,43700.,200.,0.000049,20300.
"4I11/2","4I11/2",10,7,2194.,2027.,60000.,500.,0.000319,3130.
"4I11/2","4I11/2",10,8,2194.,2071.,81300.,900.,0.0000457,21800.
"4I11/2","4I11/2",10,9,2194.,2090.,96000.,1000.,6.67e-6,149000.
"4I11/2","4I9/2",11,1,2227.,0.,4490.,2.,0.00995,100.
"4I11/2","4I9/2",11,2,2227.,44.,4580.,2.,0.0000687,14500.
"4I11/2","4I9/2",11,3,2227.,148.,4811.,3.,0.000388,2570.
"4I11/2","4I9/2",11,4,2227.,299.,5187.,3.,0.00156,637.
"4I11/2","4I9/2",11,5,2227.,508.,5817.,4.,0.0275,36.3
"4I11/2","4I11/2",11,6,2227.,1965.,38200.,200.,0.000392,2540.
"4I11/2","4I11/2",11,7,2227.,2027.,50000.,300.,3.87e-7,2.57e6
"4I11/2","4I11/2",11,8,2227.,2071.,63900.,500.,0.0000181,55100.
"4I11/2","4I11/2",11,9,2227.,2090.,72900.,700.,9.49e-7,1.05e6
"4I11/2","4I11/2",11,10,2227.,2194.,300000.,10000.,2.73e-6,366000.
"4I13/2","4I9/2",12,1,3903.,0.,2562.3,0.9,0.000702,1420.
"4I13/2","4I9/2",12,2,3903.,44.,2591.5,0.9,0.00112,888.
"4I13/2","4I9/2",12,3,3903.,148.,2663.,1.,0.000927,1070.
"4I13/2","4I9/2",12,4,3903.,299.,2775.,1.,0.0057,175.
"4I13/2","4I9/2",12,5,3903.,508.,2945.,1.,0.0004,2490.
"4I13/2","4I11/2",12,6,3903.,1965.,5161.,3.,0.135,7.35
"4I13/2","4I11/2",12,7,3903.,2027.,5331.,4.,0.0112,88.5
"4I13/2","4I11/2",12,8,3903.,2071.,5458.,4.,0.00378,264.
"4I13/2","4I11/2",12,9,3903.,2090.,5516.,4.,0.00437,228.
"4I13/2","4I11/2",12,10,3903.,2194.,5850.,4.,0.000886,1120.
"4I13/2","4I11/2",12,11,3903.,2227.,5967.,5.,0.000047,21200.
"4I13/2","4I9/2",13,1,3970.,0.,2518.9,0.8,0.00489,204.
"4I13/2","4I9/2",13,2,3970.,44.,2547.1,0.9,0.00263,379.
"4I13/2","4I9/2",13,3,3970.,148.,2616.7,0.9,0.000136,7330.
"4I13/2","4I9/2",13,4,3970.,299.,2724.,1.,0.000411,2420.
"4I13/2","4I9/2",13,5,3970.,508.,2888.,1.,0.00135,737.
"4I13/2","4I11/2",13,6,3970.,1965.,4988.,3.,0.0016,621.
"4I13/2","4I11/2",13,7,3970.,2027.,5147.,3.,0.164,6.09
"4I13/2","4I11/2",13,8,3970.,2071.,5264.,3.,0.0564,17.7
"4I13/2","4I11/2",13,9,3970.,2090.,5318.,4.,0.00386,258.
"4I13/2","4I11/2",13,10,3970.,2194.,5629.,4.,0.000411,2430.
"4I13/2","4I11/2",13,11,3970.,2227.,5737.,4.,0.00171,582.
"4I13/2","4I13/2",13,12,3970.,3903.,148000.,3000.,8.58e-7,1.16e6
"4I13/2","4I9/2",14,1,4033.,0.,2479.2,0.8,0.000551,1810.
"4I13/2","4I9/2",14,2,4033.,44.,2506.5,0.8,0.00403,247.
"4I13/2","4I9/2",14,3,4033.,148.,2573.9,0.9,0.0107,93.1
"4I13/2","4I9/2",14,4,4033.,299.,2677.,1.,0.00388,257.
"4I13/2","4I9/2",14,5,4033.,508.,2836.,1.,0.00102,977.
"4I13/2","4I11/2",14,6,4033.,1965.,4834.,3.,0.00377,264.
"4I13/2","4I11/2",14,7,4033.,2027.,4984.,3.,0.014,71.1
"4I13/2","4I11/2",14,8,4033.,2071.,5094.,3.,0.0243,41.
"4I13/2","4I11/2",14,9,4033.,2090.,5144.,3.,0.00845,118.
"4I13/2","4I11/2",14,10,4033.,2194.,5434.,4.,0.0124,80.2
"4I13/2","4I11/2",14,11,4033.,2227.,5535.,4.,0.00058,1720.
"4I13/2","4I13/2",14,12,4033.,3903.,76400.,800.,0.0000189,52800.
"4I13/2","4I13/2",14,13,4033.,3970.,157000.,3000.,0.0000187,53400.
"4I13/2","4I9/2",15,1,4087.,0.,2446.5,0.8,0.000261,3820.
"4I13/2","4I9/2",15,2,4087.,44.,2473.1,0.8,0.000521,1910.
"4I13/2","4I9/2",15,3,4087.,148.,2538.7,0.9,0.0058,172.
"4I13/2","4I9/2",15,4,4087.,299.,2639.7,0.9,0.00283,353.
"4I13/2","4I9/2",15,5,4087.,508.,2793.,1.,4.22e-6,236000.
"4I13/2","4I11/2",15,6,4087.,1965.,4712.,3.,0.00354,282.
"4I13/2","4I11/2",15,7,4087.,2027.,4853.,3.,0.00171,583.
"4I13/2","4I11/2",15,8,4087.,2071.,4958.,3.,0.0129,77.3
"4I13/2","4I11/2",15,9,4087.,2090.,5006.,3.,0.119,8.35
"4I13/2","4I11/2",15,10,4087.,2194.,5280.,3.,0.00182,548.
"4I13/2","4I11/2",15,11,4087.,2227.,5374.,4.,0.00593,168.
"4I13/2","4I13/2",15,12,4087.,3903.,54100.,400.,0.0000244,40800.
"4I13/2","4I13/2",15,13,4087.,3970.,85000.,1000.,0.0000182,54700.
"4I13/2","4I13/2",15,14,4087.,4033.,185000.,4000.,0.0000241,41400.
