"ψi:simple","ψf:simple","ψi:idx","ψf:idx","Ei/K","Ef/K","λ/nm","Δλ/nm","τ*n^3/s","AMD/n^3/s^-1"
"4I9/2","4I9/2",2,1,47.,0.,210000.,80000.,7.57e-7,1.31e6
"4I9/2","4I9/2",3,1,149.,0.,66000.,8000.,0.00026,3840.
"4I9/2","4I9/2",3,2,149.,47.,90000.,10000.,5.45e-6,183000.
"4I9/2","4I9/2",4,1,300.,0.,33000.,2000.,0.001,997.
"4I9/2","4I9/2",4,2,300.,47.,39000.,2000.,0.000223,4470.
"4I9/2","4I9/2",4,3,300.,149.,66000.,8000.,0.000253,3940.
"4I9/2","4I9/2",5,1,508.,0.,19600.,700.,0.00275,363.
"4I9/2","4I9/2",5,2,508.,47.,21600.,800.,0.00736,135.
"4I9/2","4I9/2",5,3,508.,149.,27000.,1000.,0.00243,410.
"4I9/2","4I9/2",5,4,508.,300.,48000.,4000.,0.0000244,40800.
"4I11/2","4I9/2",6,1,1975.,0.,5060.,40.,0.138,7.24
"4I11/2","4I9/2",6,2,1975.,47.,5180.,40.,0.00821,121.
"4I11/2","4I9/2",6,3,1975.,149.,5470.,50.,0.0794,12.5
"4I11/2","4I9/2",6,4,1975.,300.,5960.,60.,0.0124,80.1
"4I11/2","4I9/2",6,5,1975.,508.,6810.,80.,0.0000545,18300.
"4I11/2","4I9/2",7,1,2038.,0.,4900.,40.,0.0454,21.9
"4I11/2","4I9/2",7,2,2038.,47.,5020.,40.,0.204,4.89
"4I11/2","4I9/2",7,3,2038.,149.,5290.,50.,0.0609,16.4
"4I11/2","4I9/2",7,4,2038.,300.,5750.,60.,0.000404,2470.
"4I11/2","4I9/2",7,5,2038.,508.,6530.,70.,0.00935,106.
"4I11/2","4I11/2",7,6,2038.,1975.,150000.,40000.,8.17e-7,1.22e6
"4I11/2","4I9/2",8,1,2081.,0.,4800.,40.,0.148,6.72
"4I11/2","4I9/2",8,2,2081.,47.,4910.,40.,0.0274,36.3
"4I11/2","4I9/2",8,3,2081.,149.,5170.,40.,0.0204,48.9
"4I11/2","4I9/2",8,4,2081.,300.,5610.,50.,0.0488,20.4
"4I11/2","4I9/2",8,5,2081.,508.,6350.,70.,0.00604,165.
"4I11/2","4I11/2",8,6,2081.,1975.,90000.,10000.,7.03e-6,142000.
"4I11/2","4I11/2",8,7,2081.,2038.,200000.,100000.,9.05e-6,110000.
"4I11/2","4I9/2",9,1,2100.,0.,4760.,40.,0.0092,108.
"4I11/2","4I9/2",9,2,2100.,47.,4870.,40.,0.000158,6310.
"4I11/2","4I9/2",9,3,2100.,149.,5120.,40.,0.0329,30.3
"4I11/2","4I9/2",9,4,2100.,300.,5550.,50.,0.147,6.78
"4I11/2","4I9/2",9,5,2100.,508.,6280.,70.,0.000569,1750.
"4I11/2","4I11/2",9,6,2100.,1975.,80000.,10000.,0.0000197,50600.
"4I11/2","4I11/2",9,7,2100.,2038.,160000.,40000.,2.12e-6,470000.
"4I11/2","4I11/2",9,8,2100.,2081.,500000.,400000.,1.47e-6,678000.
"4I11/2","4I9/2",10,1,2203.,0.,4530.,30.,0.0311,32.1
"4I11/2","4I9/2",10,2,2203.,47.,4630.,30.,0.0124,80.5
"4I11/2","4I9/2",10,3,2203.,149.,4860.,40.,0.00787,127.
"4I11/2","4I9/2",10,4,2203.,300.,5250.,50.,0.000159,6260.
"4I11/2","4I9/2",10,5,2203.,508.,5890.,60.,0.0454,21.9
"4I11/2","4I11/2",10,6,2203.,1975.,43000.,3000.,0.0001,9970.
"4I11/2","4I11/2",10,7,2203.,2038.,60000.,6000.,0.00039,2560.
"4I11/2","4I11/2",10,8,2203.,2081.,80000.,10000.,1.53e-6,653000.
"4I11/2","4I11/2",10,9,2203.,2100.,90000.,10000.,0.0000127,78200.
"4I11/2","4I9/2",11,1,2236.,0.,4470.,30.,0.0638,15.6
"4I11/2","4I9/2",11,2,2236.,47.,4560.,30.,0.0000544,18300.
"4I11/2","4I9/2",11,3,2236.,149.,4790.,40.,0.00655,152.
"4I11/2","4I9/2",11,4,2236.,300.,5160.,40.,0.00312,319.
"4I11/2","4I9/2",11,5,2236.,508.,5780.,60.,0.0567,17.6
"4I11/2","4I11/2",11,6,2236.,1975.,38000.,2000.,0.00111,895.
"4I11/2","4I11/2",11,7,2236.,2038.,50000.,4000.,7.62e-7,1.31e6
"4I11/2","4I11/2",11,8,2236.,2081.,64000.,7000.,0.0000339,29400.
"4I11/2","4I11/2",11,9,2236.,2100.,73000.,9000.,0.0000363,27500.
"4I11/2","4I11/2",11,10,2236.,2203.,300000.,100000.,6.19e-6,161000.
"4I13/2","4I9/2",12,1,3914.,0.,2550.,10.,0.00154,649.
"4I13/2","4I9/2",12,2,3914.,47.,2580.,10.,0.00248,402.
"4I13/2","4I9/2",12,3,3914.,149.,2650.,10.,0.00206,483.
"4I13/2","4I9/2",12,4,3914.,300.,2760.,10.,0.0116,86.1
"4I13/2","4I9/2",12,5,3914.,508.,2930.,10.,0.000858,1160.
"4I13/2","4I11/2",12,6,3914.,1975.,5150.,40.,0.292,3.42
"4I13/2","4I11/2",12,7,3914.,2038.,5330.,50.,0.0233,42.8
"4I13/2","4I11/2",12,8,3914.,2081.,5450.,50.,0.00759,131.
"4I13/2","4I11/2",12,9,3914.,2100.,5510.,50.,0.00165,604.
"4I13/2","4I11/2",12,10,3914.,2203.,5840.,60.,0.000939,1060.
"4I13/2","4I11/2",12,11,3914.,2236.,5960.,60.,0.000106,9400.
"4I13/2","4I9/2",13,1,3982.,0.,2510.,10.,0.0127,78.6
"4I13/2","4I9/2",13,2,3982.,47.,2540.,10.,0.00541,184.
"4I13/2","4I9/2",13,3,3982.,149.,2600.,10.,0.0021,475.
"4I13/2","4I9/2",13,4,3982.,300.,2710.,10.,0.00083,1200.
"4I13/2","4I9/2",13,5,3982.,508.,2870.,10.,0.0028,356.
"4I13/2","4I11/2",13,6,3982.,1975.,4980.,40.,0.000819,1210.
"4I13/2","4I11/2",13,7,3982.,2038.,5140.,40.,0.328,3.04
"4I13/2","4I11/2",13,8,3982.,2081.,5250.,50.,0.112,8.88
"4I13/2","4I11/2",13,9,3982.,2100.,5310.,50.,0.00124,804.
"4I13/2","4I11/2",13,10,3982.,2203.,5620.,50.,0.00974,102.
"4I13/2","4I11/2",13,11,3982.,2236.,5720.,60.,0.00339,294.
"4I13/2","4I13/2",13,12,3982.,3914.,140000.,30000.,1.36e-6,731000.
"4I13/2","4I9/2",14,1,4045.,0.,2470.,10.,0.00123,807.
"4I13/2","4I9/2",14,2,4045.,47.,2500.,10.,0.0099,100.
"4I13/2","4I9/2",14,3,4045.,149.,2560.,10.,0.0223,44.8
"4I13/2","4I9/2",14,4,4045.,300.,2670.,10.,0.00573,174.
"4I13/2","4I9/2",14,5,4045.,508.,2820.,10.,0.000346,2880.
"4I13/2","4I11/2",14,6,4045.,1975.,4830.,40.,0.00765,130.
"4I13/2","4I11/2",14,7,4045.,2038.,4980.,40.,0.0657,15.2
"4I13/2","4I11/2",14,8,4045.,2081.,5090.,40.,0.245,4.06
"4I13/2","4I11/2",14,9,4045.,2100.,5140.,40.,0.014,70.9
"4I13/2","4I11/2",14,10,4045.,2203.,5420.,50.,0.0258,38.6
"4I13/2","4I11/2",14,11,4045.,2236.,5520.,50.,0.0182,54.7
"4I13/2","4I13/2",14,12,4045.,3914.,70000.,10000.,0.0000329,30300.
"4I13/2","4I13/2",14,13,4045.,3982.,150000.,40000.,0.0000719,13800.
"4I13/2","4I9/2",15,1,4099.,0.,2430.,10.,0.000452,2210.
"4I13/2","4I9/2",15,2,4099.,47.,2460.,10.,0.000975,1020.
"4I13/2","4I9/2",15,3,4099.,149.,2530.,10.,0.0159,62.8
"4I13/2","4I9/2",15,4,4099.,300.,2630.,10.,0.00551,181.
"4I13/2","4I9/2",15,5,4099.,508.,2780.,10.,0.0000339,29400.
"4I13/2","4I11/2",15,6,4099.,1975.,4700.,40.,0.000252,3960.
"4I13/2","4I11/2",15,7,4099.,2038.,4850.,40.,0.00282,353.
"4I13/2","4I11/2",15,8,4099.,2081.,4950.,40.,0.025,39.9
"4I13/2","4I11/2",15,9,4099.,2100.,5000.,40.,0.00342,291.
"4I13/2","4I11/2",15,10,4099.,2203.,5270.,50.,0.00267,374.
"4I13/2","4I11/2",15,11,4099.,2236.,5360.,50.,0.0133,75.1
"4I13/2","4I13/2",15,12,4099.,3914.,54000.,5000.,0.000048,20800.
"4I13/2","4I13/2",15,13,4099.,3982.,80000.,10000.,0.0000333,29900.
"4I13/2","4I13/2",15,14,4099.,4045.,180000.,60000.,0.0000591,16800.
"4I13/2","4I9/2",16,1,4127.,0.,2420.,10.,0.00431,231.
"4I13/2","4I9/2",16,2,4127.,47.,2450.,10.,0.0123,80.8
"4I13/2","4I9/2",16,3,4127.,149.,2510.,10.,0.0075,133.
"4I13/2","4I9/2",16,4,4127.,300.,2610.,10.,0.00673,148.
"4I13/2","4I9/2",16,5,4127.,508.,2760.,10.,0.00789,126.
"4I13/2","4I11/2",16,6,4127.,1975.,4640.,30.,0.00401,249.
"4I13/2","4I11/2",16,7,4127.,2038.,4780.,40.,0.0931,10.7
"4I13/2","4I11/2",16,8,4127.,2081.,4880.,40.,0.0103,96.8
"4I13/2","4I11/2",16,9,4127.,2100.,4930.,40.,0.000709,1400.
"4I13/2","4I11/2",16,10,4127.,2203.,5190.,40.,0.0674,14.8
"4I13/2","4I11/2",16,11,4127.,2236.,5280.,50.,0.0334,29.9
"4I13/2","4I13/2",16,12,4127.,3914.,46000.,4000.,0.0000882,11300.
"4I13/2","4I13/2",16,13,4127.,3982.,69000.,8000.,0.000174,5740.
"4I13/2","4I13/2",16,14,4127.,4045.,120000.,20000.,1.e-6,990000.
"4I13/2","4I13/2",16,15,4127.,4099.,300000.,200000.,7.9e-9,1.26e8
"4I13/2","4I9/2",17,1,4217.,0.,2370.,10.,0.00018,5520.
